spotify_track_uri,master_metadata_track_name,master_metadata_album_artist_name
spotify:track:01KZyqgrbDVka1dZ0HTwX1,Quit Your Job - Instrumental,Thundamentals
spotify:track:01KarOgeNS6VHlFl0V2pfE,Mein Rostock,Marteria
spotify:track:01MV13Hg9sfFNtgcMidjgE,Ambient White Tones,Hovar
spotify:track:01Mi9xc3nOoxuJWSptf7LY,We Are The World - Live,Luciano Pavarotti
spotify:track:01Mpj13vURSO3cCLprPt5T,Raining Blood,Slayer
spotify:track:01NIcmaUgzkOtXmTkbzpg3,忘記他,Shirley Kwan
spotify:track:01ScugEvVRWrNAMqp4sxP4,Navegador,Mallu Magalhães
spotify:track:01SfTM5nfCou5gQL70r6gs,Golden Slumbers - Remastered 2009,The Beatles
spotify:track:01T3AjynqSMVfiAQCAfrKJ,Evolutionistically Yours,Józef Gatysik
spotify:track:01TdlwFBNijaI4AVNPV4bQ,Che vuole questa musica stasera,Peppino Gagliardi
spotify:track:01TeWe9FtQOOoO1xD8idoU,Groovin',Flamingosis
spotify:track:01TnVDiet1DFTsyWKUKovl,NUMB,XXXTENTACION
spotify:track:01TyFEZu6mHbffsVfxgrFn,Show Me How,Men I Trust
spotify:track:01UOzRssrpuc2GGONEwPWb,The Girl From Ipanema,Walter Wanderley
spotify:track:01VGA34ATxwp0Xo1ldduo2,Note to Self,J. Cole
spotify:track:01WLCRBZsspgBYkVVdMNi7,The Eyes of Texas,The University of Texas Longhorn Band
spotify:track:01XsUn6ObwvRCDFlSlaWia,Waiting By The Satellites,Behind Sapphire
spotify:track:01ZslmM5ZveFiBUzoPSJYM,Dimelo en Septiembre,Los Machucambos
spotify:track:01aHS8iI47e4ouMHe8vJtJ,The Scientist- Ravin' Dub,Scientist
spotify:track:01apQz7E72krU1k1b4VWs7,Raining Tacos,Parry Gripp
spotify:track:01dFpOht9VCld9wWnEiCjV,A Graceful Retreat,Reality Club
spotify:track:01f4pMeB8tVxaJsKjnEcEq,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,One Direction
spotify:track:01fL0TINslnHzUa9dfQr8g,If You Wanna Stay,The Griswolds
spotify:track:01g5GoZQZPIgiD5K2uWJ21,"Toccata in D Minor, BWV 565",Johann Sebastian Bach
spotify:track:01gDLZsi0j5fWC28FLPNO8,Move on Up - Extended Version,Curtis Mayfield
spotify:track:01gUlvzAPiwB9Ekq9kGVCM,Anpanman,BTS
spotify:track:01gdZsRoaxG5cCZ6ivGcBd,Another Level,Crystal Fighters
spotify:track:01h424WG38dgY34vkI3Yd0,White Christmas,Bing Crosby
spotify:track:01h92A2S8XFFgbdOeFRFlR,The Void,Kid Cudi
spotify:track:01hRWPloULWezkSk7CWOQA,"Yumeji's Theme - From ""In The Mood For Love""",Movie Sounds Unlimited
spotify:track:01jeQylcvKzeZ2VWt6pbo5,Falling - Psychemagik Remix,HAIM
spotify:track:01jqXB6bDD9TAm3oVxPCI8,Kronos,4lienetic
spotify:track:01kZsYwEU1Rdwf3DVLil3Q,"Tchaikovsky: Valse sentimentale, Op. 51, No. 6",Pyotr Ilyich Tchaikovsky
spotify:track:01met80KMGUZxgzD1QpEv7,Told You,gate 문
spotify:track:01mplomcij538GerEJaiFq,The Minstrel's Prayer,Cartel
spotify:track:01nkjRsgpYwtbH94l7y4cg,Itchin' on a Photograph,GROUPLOVE
spotify:track:01oPNCtTniFT3YM4K3ksTf,Opposite of Adults,Chiddy Bang
spotify:track:01oyRIMjNlMSN00ETiVduQ,Stumblin' Home,Smallpools
spotify:track:01rzqgRE3bImDHZFwSBakq,"Don't You Worry 'Bout A Thing - Acoustic Version / From ""Sing"" Original Motion Picture Soundtrack",Tori Kelly
spotify:track:01uqI4H13Gsd8Lyl1EYd8H,Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis
spotify:track:01vv2AjxgP4uUyb8waYO5Y,Morph,Twenty One Pilots
spotify:track:01wsKcJ8ptqUmatpJlEGYj,Ready to Start,Arcade Fire
spotify:track:01zfU5ZEuQifs5eVH66tfr,Driving,Hans Zimmer
spotify:track:01zloR4BBCutuMCuSw8KNn,Quero Quero,Mallu Magalhães
spotify:track:01zsv6QDtiT6GirugjG0MO,Hunter - Mike Williams Remix,Galantis
spotify:track:021Hs4My1c8miKUB9DviOQ,Bonse Aba,Brisbane Birralee Voices
spotify:track:0227KOweSwbHaIIgU8WpTL,I Wanna Dance With Somebody - Acoustic Version,Thyra
spotify:track:022Hks9BZTPSabeyAxwyW4,Brown Noise for Relaxation,Michael Pole
spotify:track:022k1qYIMWV20yW7tjiBv5,Play God,Sam Fender
spotify:track:023DWrHHWSjXF7cBJLFu4s,Darkroom,Ten Sleep
