spotify_track_uri,master_metadata_track_name,master_metadata_album_artist_name,duration_ms,song_popularity,release_date,is_explicit
spotify:track:00yx4XSoF2ZqpmXb4wPjgo,Push Off,The Palms,230044,30,2016-08-05,True
spotify:track:011POwnO7SzJ8vbwdjfYyC,Tek It Down (feat. Rigo),Teddybears,186480,6,2010,False
spotify:track:012p314AtSuiWcVfhF9mPj,"Mystic and Severe (From ""Inglourious Basterds"")",Ennio Morricone,188253,20,2016-02-27,False
spotify:track:014S84Cgs1uGmWOIW6V9U9,A Little Soul,Pete Rock,341200,0,2001,False
spotify:track:014wb25VnWeWVYlKaLOzvH,The Fonz,Drop City Yacht Club,196453,2,2013-01-01,False
spotify:track:016jMrTAKPT7Xu6X19xdTM,Grandma's Hands,Meg Mac,243071,18,2015-03-23,False
spotify:track:018Lv2nSK23HDJeqmvw1A8,My World,Kid Cudi,243000,33,2009-09-15,True
spotify:track:018SQDupRTRsl1Wolu1X0c,Star Eater,Daniel Deluxe,272855,46,2015-07-14,False
spotify:track:019zJv1AdO8iL0JP1JUWUq,Santa Baby,Eartha Kitt,204640,0,2007-09-15,False
spotify:track:01A7PEPSnmtixFPfB2UTal,Buy The World,Mike WiLL Made-It,226693,47,2014-06-17,True
spotify:track:01ADMjKzsqzXYN7Ddtu1cl,Crave You,Flight Facilities,234786,0,2014-01-01,False
spotify:track:01BuGDsak2sRcIFCZuwFFZ,Soft Brown Noise - Seamless,Oasis Magna,174500,61,2022-06-10,False
spotify:track:01CJIdaopzKB87o4ZmBhAC,Honey Hold Me,Morningsiders,181454,0,2017-12-15,False
spotify:track:01DSvNTUsVROjnSF5j3UbD,Try,P!nk,247906,0,2012-09-14,False
spotify:track:01FeKtdGk2aACp8csqlmHX,You Carry Me,MŌRIAH,184533,0,2014-05-16,False
spotify:track:01IWX2W6vGb1gYetSTt7sa,guarded,flor,183973,0,2017-05-19,False
spotify:track:01JMnRUs2YOK6DDpdQASGY,Grace (feat. 42 Dugg),Lil Baby,203438,71,2020-02-28,True
spotify:track:01Jni7AQW6iSc20EDfPiZF,Memory Lane,Michael FK,211200,28,2021-02-26,False
spotify:track:01KZyqgrbDVka1dZ0HTwX1,Quit Your Job - Instrumental,Thundamentals,190857,0,2014-07-01,False
spotify:track:01KarOgeNS6VHlFl0V2pfE,Mein Rostock,Marteria,239800,10,2014-01-31,False
spotify:track:01MV13Hg9sfFNtgcMidjgE,Ambient White Tones,Hovar,123702,71,2022-01-11,False
spotify:track:01Mi9xc3nOoxuJWSptf7LY,We Are The World - Live,Luciano Pavarotti,350866,33,1999-01-01,False
spotify:track:01Mpj13vURSO3cCLprPt5T,Raining Blood,Slayer,254400,6,1986-01-01,False
spotify:track:01NIcmaUgzkOtXmTkbzpg3,忘記他,Shirley Kwan,206000,3,2016-03-24,False
